原文件名,第一行内容,新文件名
第1111集 别再低估西周 ｜周礼凭什么沿用.txt,别再低估西周 ｜周礼凭什么沿用千年 —— 稷土定鼎制礼乐， 周公吐哺铸九畴。 农耕革故迁鼎祚， 礼法承天镇中流。 娲皇抟土实观象， 伏羲画卦非独谋。 千载犹叹周期律， 至今谁解封建忧？,第1111集 别再低估西周_周礼凭什么沿用千年.txt
第1112集 十年逆袭秘籍弱势方如何用 72.txt,十年逆袭秘籍弱势方如何用,第1112集 十年逆袭秘籍弱势方如何用.txt
第1113集 历史无对错？衣服没有对错？这话.txt,历史无对错？衣服没有对错？这话你信了吗？和稀泥就是想颠倒黑白 #历史真相 —— 青史斑斑血泪凝，是非岂可作烟澄。 赵高指鹿犹能辨，贾谊过秦尚可征。 十二冕旒遮暗日，三千铁锁缚明灯。 休言胜败皆天数，自有春秋镜似冰。,第1113集 历史无对错_衣服没有对错_和稀泥就是想颠倒黑白.txt
第1114集 历史智慧｜唯器与名不可假人·命.txt,历史智慧｜唯器与名不可假人·命名权背后的文化战争 文字夺舍 异域学舌效沐猴，秦腔枉作楚人讴。 文字有灵须谨守，器名无假莫轻投。 甘为犬马知羞未？化作虫沙恨未休。 千古兴亡多少事，谨防曲笔误春秋。,第1114集 历史智慧_唯器与名不可假人_命名权背后的文化战争.txt
第1115集 历史的另一面：宋明百姓的世界地.txt,历史的另一面：宋明百姓的世界地位 《洪武安夷帖》 胡尘曾蔽中原月， 宋烛犹明四海樽。 牧奴血泪沾元冕， 汉诏春风化夷魂。 衣冠自古非弓马， 禾黍从来定乾坤。 莫道华夷分泾渭， 人间苦乐是根源。,第1115集 历史的另一面_宋明百姓的世界地位.txt
第1116集 古代王朝发房子发地？一分钟看懂.txt,古代王朝发房子发地？一分钟看懂农民在“盛世”怎么活。 《观史叹农》 鼎革初定授田忙， 里闾书声杂稻香。 岂料朱门吞瘠土， 终闻白骨泣残阳。 兴衰非独庙堂事， 冷暖直关闾巷殇。 莫道周期天数定， 人谋岂可卸纲常？,第1116集 古代王朝发房子发地_一分钟看懂农民在盛世怎么活.txt
第1117集 吃国外饭留中国碗？这些人精透了.txt,吃国外饭留中国碗？这些人精透了！ —— 《籍鉴吟》 适夷犹握汉家章， 社保暗藏似吕囊。 口斥桑梓心算利， 身栖番邦梦黄粱。 范叔绨袍终现窘， 朱公三徙岂忘乡？ 莫效鼫鼠穷五技， 故国云月照肝肠。,第1117集 吃国外饭留中国碗_这些人精透了.txt
第1118集 吐蕃治理三朝辨 《三朝吐蕃鉴》.txt,吐蕃治理三朝辨 《三朝吐蕃鉴》 唐剑难破雪域关， 明征暗税握实权。 清吹五百戍卒事， 史鉴真伪在税篇。,第1118集 吐蕃治理三朝辨_三朝吐蕃鉴.txt
第1119集 坤舆万国全图作者是谁？ ——梵.txt,坤舆万国全图作者是谁？ ——梵蒂冈已改介绍！ —— 《万国图鉴》 昆舆遗墨渡沧溟，利氏虚名梵蒂瞑。 郑和帆影破瘴疠，欧罗舟楫困膻腥。 凿空欲掩羲和迹，铸铁难销禹鼎形。 莫道昆山无片玉，海西犹自拜占庭。,第1119集 坤舆万国全图作者是谁_梵蒂冈已改介绍.txt
第1120集 太后VS皇帝 ▶ 为什么说武则.txt,太后VS皇帝 ▶ 为什么说武则天走错了最关键一步 #吃瓜蒙主 【武瞾鉴 】 凤阙凌霄，龙裳易姓。借坤仪之贵胄，窃乾纲之权柄。昔摄琼庭母仪，本可垂帘安稷；偏效嬴政称制，徒惹非议盈廷。抛嫡长之成规，启武周之变局；纵酷吏以制衡，损朝堂之肱骨。 观其执冕临轩，岂知社稷倾危？突厥裂土而西奔，吐蕃毁盟而南犯。掖庭权谋渐盛，烽燧军报日稀。终使贞观遗产，尽付烟雨；竟将永徽基业，半陷泥泞。 嗟乎！法统如弦，违则邦隳；,第1120集 太后VS皇帝_为什么说武则天走错了最关键一步.txt
第1121集 宋朝真是战五渣？富庶王朝之死于.txt,宋朝真是战五渣？富庶王朝之死于安乐 七言格律·鉴宋 赵钱营垒积金帛，岁贡犹作九牛毛 玉瓶自矜惜残漏，瓦罐频磨砺断刀 互市翻利千倍返，边关沉血万里涛 可叹汴梁安乐死，空留杭梦续前朝,第1121集 宋朝真是战五渣_富庶王朝之死于安乐.txt
第1122集 审美的囚笼：被资本驯化的眼睛.txt,审美的囚笼：被资本驯化的眼睛 —— 《鉴美赋》 夫美之为道，本乎天工。眉黛含青山之秀，肌莹映皓月之空。然观今之世，朱紫乱目，珷玞混玉。资本执彩笔而绘虚空，媒体持铜锣而振聋聩。 昔者拉丁丽人，承混血之奇珍；选美瑶台，夺群芳之冠冕。此非造化独钟，实乃市场运斤。远缘杂交，或得骊龙之珠；种间拼合，常见畸骛之群。故知美者，自然之馈赠，非人力可强分。 及至好莱坞之初兴，遴绝色以惊四邻。削肩素腰，皆合黄金之度；星,第1122集 审美的囚笼_被资本驯化的眼睛.txt
第1123集 归谬：谁在给小农泼脏水？满清毁.txt,归谬：谁在给小农泼脏水？满清毁书禁科技，才是落后的根源！ —— 《稼穑辩》 夫沧海横流，谬种迭生。指稼穑为锢国之锁，诬阡陌作蔽日之云。 岂知黍稷盈仓，实乃社稷之基；布衣躬耕，本为华夏之脊。 昔嬴政废封建而立郡县，虽集权于一尊，未罪锄犁；满清锢科技而禁民智，纵闭关二百载，何责稻粱？ 讽拉丁文字革故鼎新，笑混血人种求强慕异。 更甚者，裂家庭伦常以为桎梏，毁孝悌仁义而奉西风。 哀哉！黑锅频扣，尽归畎亩之间,第1123集 归谬_谁在给小农泼脏水_满清毁书禁科技才是落后的根源.txt
第1124集 文化置换论：樱花与枯山水的殖民.txt,文化置换论：樱花与枯山水的殖民隐喻｜杭州砍樱事件｜文化殖民 文化置换鉴 泱泱华夏，文明渊薮。倭人窃火，暗度陈仓。昔者徐福东渡，本传道术；今者脚盆西来，反客为主。观其神道立极，竟奉太上为尊；察其百鬼夜行，多袭志怪典籍。犹效狡狐借穴，更类社鼠穿墉。 夫樱花本异樱璎，强冠汉名而乱真；枯水实非山水，妄称禅意而惑众。杭州桃李之地，遍植夷木；古寺晨钟之所，竟立鸟居。犹记倭寇入侵时，植樱为占领之标记；可叹太平盛世,第1124集 文化置换论_樱花与枯山水的殖民隐喻_杭州砍樱事件.txt
第1125集 明朝养狼计划破产！李成梁如何亲.txt,明朝养狼计划破产！李成梁如何亲自演绎农夫与蛇大明版！ 东郭先生与狼、农夫与蛇，今人应以鉴之。 养寇自重，梁门纵虎； 枭獍假息，建州窃符。 烽燧戏谑，虚糜九帑； 豢狼为戏，实祸三都。 枭獍负恩，白手化戟； 狼顾鹰扬，冠冕成毒。 养痈胎祸，金瓯堕隳； 殷鉴垂诫：覆舟者，昔之涓渎！,第1125集 明朝养狼计划破产_李成梁如何亲自演绎农夫与蛇大明版.txt
第1126集 明朝灭亡原因分析及历史教训。.txt,明朝灭亡原因分析及历史教训。,第1126集 明朝灭亡原因分析及历史教训.txt
第1127集 残编窥史：明代档案与清代刻意的.txt,残编窥史：明代档案与清代刻意的湮灭 —— #文字狱 夫青编烬余，鲁壁尘深。昔者明室实录，本朝日注，然清鼎既移，秦火复炽。残章断简，散作孤星渡海；邑志家乘，凋同秋叶坠渊。遂使蠹鱼啮缺，豕亥传讹。 观夫阿美藏楼，犹存片札；中州阙府，竟失全帙。岂非鞮译之阻，更兼桎梏之严？彼胥吏不识字，县档空悬；村氓岂知书，乡乘永绝。遂令交叉无据，参详乏薪。 呜呼！信史之存，在众证如星拱月；伪章之滥，似浮云欲蔽天。今之校雠,第1127集 残编窥史_明代档案与清代刻意的湮灭.txt
第1128集 浮华皮相：仙侠古偶对传统文化的.txt,浮华皮相：仙侠古偶对传统文化的背离与资本逻辑 —— 《观仙侠剧有感》 血统论成仙阶梯，白衣散发竟相迷。 修行千载无人问，恋爱灭世称传奇。 雪洞岂是神仙府，嫡庶分明悖伦常。 愿借葛洪丹灶火，照破荧屏万古魑。,第1128集 浮华皮相_仙侠古偶对传统文化的背离与资本逻辑.txt
第1129集 清代技术倒退真相：清刻意打压是.txt,清代技术倒退真相：清刻意打压是原罪｜民族劣根性不背锅 ——《清技赋》 火铳蒙尘兮匠人流霜，康乾库廪兮竟纳寒芒。 连珠韬匣甲胄锈，明炮犹胜清冶坊。 史笔篡真伪，西儒宴饮详。 分觞见昂藏七尺，暮年成侏儒跄踉。 哀兮！庙堂策落鸿鹄翼，刻意颓波丧脊梁。 原道墨传兼爱术，翻作胡尘压汉罡。,第1129集 清代技术倒退真相_清刻意打压是原罪_民族劣根性不背锅.txt
第1130集 清代税收碾压历代！ 名义免税，.txt,清代税收碾压历代！ 名义免税，暗地吸髓的财富黑洞！ #鸦片战争 ———————— 龙蛇劫后血未干， 火耗三饷噬民肝。 珠崖弃捐烟作障， 铜山铸就泪成滩。 虎女空悲犬儿劣， 金瓯竟付列强餐。 莫信天家轻赋语， 瓜田犹问“可保熟”？,第1130集 清代税收碾压历代_名义免税暗地吸髓的财富黑洞.txt
第1131集 清代自梳女：被禁锢的自由 ——.txt,清代自梳女：被禁锢的自由 —— 《自梳女赋》 嗟乎！时值清世，风云变色。红颜多舛，罗绮含悲。昔时宋明，女子尚可独行于市；今朝满清，佳人竟难信步于衢。 观夫八旗贵胄，掳掠成性；逃人法案，荼毒生灵。私塾尽毁，文脉断绝于草莽；闺阁深锁，才情湮灭于尘嚣。女子欲立，必誓终身不字；红颜求存，须诺永世孤鸾。 于是青丝自绾，素手谋食。舍婚姻之约，换糊口之资。虽云自立，实为所迫；名曰自淑，岂是心甘？孤身在外，薪酬尽归,第1131集 清代自梳女_被禁锢的自由.txt
第1132集 清史之镜：叙事立场与学术困局.txt,清史之镜：叙事立场与学术困局 《青简悬镜篇》 董狐血溅春秋简， 司马魂销汗青编。 内亚巧设割席计， 中原暗藏断根渊。 廿载修史立场乱， 百年辩理逻辑偏。 愿借秦镜悬紫阙， 照尽奸邪正坤乾。,第1132集 清史之镜_叙事立场与学术困局.txt
第1133集 清廷的科技枷锁：从钦天监到〈天.txt,清廷的科技枷锁：从钦天监到〈天工开物〉的失传！ 《或问》 康乾无耻称盛世？锢术埋薪祸自滋。 汉匠遭黜器自锈，回纥历残书烬时。 锁钥空悬国门闭，火种谁传五百年？,第1133集 清廷的科技枷锁_从钦天监到天工开物的失传.txt
第1134集 满洲源流考辨：一个军事联盟的诞.txt,满洲源流考辨：一个军事联盟的诞生与裂痕 御笔封名非故土， 权借边火铸盟书。 八旗漫卷血浸骨， 史鉴长悬照豕罪。,第1134集 满洲源流考辨_一个军事联盟的诞生与裂痕.txt
第1135集 满语消亡真相大揭秘——被误解三.txt,满语消亡真相大揭秘——被误解三百年的清代语言史 朱批犹存满汉章， 林公秉烛译兴亡。 庙堂争似鸟聒噪， 市井终将母语藏。 @康师傅官方旗舰店,第1135集 满语消亡真相大揭秘_被误解三百年的清代语言史.txt
第1136集 疆域密码：清代封禁政策与领土危.txt,疆域密码：清代封禁政策与领土危机的历史镜鉴！ 【柳条边史鉴 】 禹鼎沉沙界未铭， 周疆无垒赖民耕。 清廷自锢柳边月， 夷舰终破铁锁营。 万里封畿空戍火， 百年禁地起狐声。 至今黑水残碑在， 犹诉当年割地盟。,第1136集 疆域密码_清代封禁政策与领土危机的历史镜鉴.txt
第1137集 破壁之书：爽文背后的价值密码.txt,破壁之书：爽文背后的价值密码 《观爽文有感》 金匙乍现破重关，岂独消闲娱世间 末世犹存稷下志，逆袭暗合祖生鞭 郑人梦鹿终成笑，庄生观鱼始得玄 莫道爽文无骨格，稗官亦可载舟船 #爽文,第1137集 破壁之书_爽文背后的价值密码.txt
第1138集 破笼：清末求生录 《戍荒赋》.txt,破笼：清末求生录 《戍荒赋》 昔者清廷画地为牢，汉裔禁足十八疆。 海陲封帆棹，塞北断蹄痕。 沃野千里成囹圄，亿兆黎庶作困兽。 官牒剥脂膏，闾阎匮米薪。 男儿俯首矮五寸，妇孺缫丝夜未央。 及至王纲解纽日，铁锁铿然落九霄。 云帆直指南洋浪，筚路斩棘关东雪。 自梳青丝为生计，徙民白骨拓荒原。 三百万众守东北，百载血泪固金瓯。 嗟乎！封疆岂靠戍卒戟，守土终须黎庶耕。 今观史册斑驳处，犹闻父老踏歌声。,第1138集 破笼_清末求生录.txt
第1139集 破障新编：汉衣冠与思维驯化 —.txt,破障新编：汉衣冠与思维驯化 —— 《觉醒吟》 训犬摇尾饵食诱，驯人俯首污名囚。 汉衣非刃破迷障，祖德如灯照暗舟。 莫为谤言折脊骨，且以正气对寒流。 千年衣冠今犹在，不信东风唤不回。,第1139集 破障新编_汉衣冠与思维驯化.txt
第1140集 穿越魏晋当大女主？先问问“两脚.txt,穿越魏晋当大女主？先问问“两脚羊”同不同意！ #五胡乱华 《读史感魏晋风流之谬》 清谈误国犹堪训，粉饰风流岂足夸。 洛水魂惊胡骑尘，铜驼泪洒汉宫沙。 岂因贾后权倾日，便作钗裙盛世花？ 莫效楚宫迷细腰，青编血泪鉴天涯。,第1140集 穿越魏晋当大女主_先问问两脚羊同不同意.txt
第1141集 纯语文迷雾：教材删改背后的文化.txt,纯语文迷雾：教材删改背后的文化危机 —— 《教材刍论》 纯语文倡削精神，乾隆俚句登堂频。 编研共识如铁铸，纵去权奸遗毒深。 昔贤删诗存雅正，今人篡典堕浮尘。 愿唤司牧醒耳目，莫教文脉化荆榛。,第1141集 纯语文迷雾_教材删改背后的文化危机.txt
第1142集 美洲澳洲不让考古？背后原因太惊.txt,美洲澳洲不让考古？背后原因太惊人！——明代遗迹疑云再起 七律·考古阻障感怀 宣德金牌渡海踪，北斗星图印蕃容。 稻花犹记中华种，瓷片空埋异土封。 夷酋阻考遮真史，汉使绝波断遗筇。 莫道田圏堪作戏，禹迹茫茫何处逢？,第1142集 美洲澳洲不让考古_背后原因太惊人_明代遗迹疑云再起.txt
第1143集 虚妄的疆域：重审清朝版图贡献论.txt,虚妄的疆域：重审清朝版图贡献论 # 《疆域诘》 禹贡山河本有章， 贡仪崩后界迷茫。 荒原充数标舆图， 虚名竟作开疆榜！ 汉唐拓土凭文教， 清室画地借西芒。 莫将刍狗诩功业， 刻舟求剑笑柄长。,第1143集 虚妄的疆域_重审清朝版图贡献论.txt
第1144集 血姻为盟：西周诸侯联姻密码丨祭.txt,血姻为盟：西周诸侯联姻密码丨祭祀坑、陪嫁媵丨古代政治联姻 #吃瓜蒙主 #七言格律·血姻鉴 周室分封血作盟，媵妾陪嫁结连衡 中山枉效衣冠礼，诸夏难通婚姻程 祭祀坑前辨异种，宗庙殿上认同茎 朱明犹续姻亲策，千古权谋一脉生,第1144集 血姻为盟_西周诸侯联姻密码_祭祀坑陪嫁媵_古代政治联姻.txt
第1145集 衣冠明志：从汉服礼服看华夏文明.txt,衣冠明志：从汉服礼服看华夏文明的高度 《观服制有感》 广袖曾昭万廪丰，短衣岂解黻衣功？ 蠹蝝妄议云霓色，不见仓颉造字工。,第1145集 衣冠明志_从汉服礼服看华夏文明的高度.txt
第1146集 被夸大的清代人口奇迹真相 ——.txt,被夸大的清代人口奇迹真相 —— 《人口论鉴》 夫观人口之盛衰，可窥世道之兴替。昔明末黔黎二亿，清初丁口九千；非关天灾肆虐，实乃人祸连绵。摊丁入亩，名曰革弊，实则税赋倍增；引种番薯，虽解饥馑，奈何品质日颓。 官吏虚报以邀功，吴带当风；黎庶隐丁而避税，曹衣出水。玉米盈仓，难掩身高之降；盛世歌吹，怎遮饥色之容？昔者七尺昂藏，今则六五侏儒；外显人口滋繁，内藏生机衰竭。 嗟乎！统计之数易饰，民生之苦难藏。古来,第1146集 被夸大的清代人口奇迹真相.txt
第1147集 被曲解的文明坐标：聊聊中国历史.txt,被曲解的文明坐标：聊聊中国历史时期划分合理性 《文脉匡正辞》 观夫泰西定历代之纲目，犹持矩度圆；华夏承天地之正朔，若秉烛夜行。彼以三器划鸿蒙，岂知攻玉之智早超石髓；妄将五段分今古，焉晓铸鼎之技已贯星虹。 昔者周行封建，裂土而治，此诚先王经略之制。秦立郡县，海内为一，实开万世治安之基。奈何西人窥斑概豹，强以领主之规绳我千年；更见竖子数典忘祖，竟把金科作秕糠。夫玉石至坚，雕琢见文明之深；青铜虽利，冶炼显,第1147集 被曲解的文明坐标_聊聊中国历史时期划分合理性.txt
第1148集 警惕话语陷阱｜ 同志比同胞更可.txt,警惕话语陷阱｜ 同志比同胞更可靠 背后可能藏着阴谋 #舆论战 #吃瓜蒙主 —— 鸿门宴罢楚歌起，易水寒时匕首现。 管鲍分金终有义，苏张合纵岂无嫌？ 血浓于水千年训，利薄如纱一线牵。 莫效陈桥黄袍事，至亲不认认盟笺。,第1148集 警惕话语陷阱_同志比同胞更可靠背后可能藏着阴谋.txt
第1149集 辨美录：毛发色彩与轮廓清晰度对.txt,辨美录：毛发色彩与轮廓清晰度对视觉美感的影响分析 《容色鉴》 夫观象辨形，察色析理。玉台铸镜，岂独崇鼻岳之高？云鬓描黛，自有赖墨彩之妙。昔者欧陆尚玄发，今日寰宇惑金丝。然深目悬鹰，反隐秋波于暗壑；淡眉映雪，终失春山之后形。 若夫丹青勾勒，贵在纤毫现影；造化赋形，妙于浓淡相宜。睫垂墨雨，天然自成边界；眸点漆星，何事更借妆痕？彼刻意求深者，犹抱薪救火；妄自菲薄者，类刻舟求剑。 至若西子捧心，非关夷狄之相,第1149集 辨美录_毛发色彩与轮廓清晰度对视觉美感的影响分析.txt
第1150集 这个变化你注意到了吗？ 新生儿.txt,这个变化你注意到了吗？ 新生儿登记，为何开始“从众“？ —— 《壬寅观新生儿户籍有感》 昔时蹊径慕幽兰，今朝大道青松寒。 合群本是安身策，趋同岂独避风湾？ 王谢堂燕空自诩，闾阎心镜照诚丹。 莫道浮云遮望眼，江河东去自潺潺。,第1150集 这个变化你注意到了吗_新生儿登记为何开始从众.txt
