文件名,第一行内容
第1172集 太平天国早已盖棺定论，动摇满.txt,太平天国早已盖棺定论，动摇满清统治带来新希望[吃瓜蒙主]
第1173集 宋朝虽弱，依然是文化宗主，经.txt,宋朝虽弱，依然是文化宗主，经济繁荣，死于安乐与今不同[吃瓜蒙主]
第1174集 宗族基础社会组织，毛选接地气.txt,宗族基础社会组织，毛选接地气的中国哲学
第1175集 宣发不在乎盈利，清装推动背后.txt,宣发不在乎盈利，清装推动背后资本何来
第1176集 小哥哥连线吃瓜蒙主分享论文，.txt,小哥哥连线吃瓜蒙主分享论文，满清服饰推广冲蒙主
第1177集 批清无关乎满族，疆域划定莫双.txt,批清无关乎满族，疆域划定莫双标
第1178集 明朝是如何灭亡的：仕商作死清.txt,明朝是如何灭亡的：仕商作死清捡漏。皇帝谁当都一样吗？#正本清源
第1179集 李世民是什么民族？“我汉我也.txt,李世民是什么民族？“我汉我也”是什么意思？
第1180集 杨坚功绩：力挽狂澜结束乱世。.txt,杨坚功绩：力挽狂澜结束乱世。汉语是满语的变种谣言澄清[吃瓜蒙主]
第1181集 欧美人不吃内脏蹄爪吗？生肉腌.txt,欧美人不吃内脏蹄爪吗？生肉腌制不能杀虫
第1182集 武则天和慈禧只有一个共同点[.txt,武则天和慈禧只有一个共同点[瓜主直播系列018]
第1183集 民族融合，李世民朱元璋谁的方.txt,民族融合，李世民朱元璋谁的方法更有效#冰酒
第1184集 洗清都有什么招？努尔哈赤怎么.txt,洗清都有什么招？努尔哈赤怎么起家的？ #菇的辣克香菇酱
第1185集 清初中西工业比较，明代海贸与.txt,清初中西工业比较，明代海贸与海盗#海禁
第1186集 热搜榜是大众投票吗？听吃瓜蒙.txt,热搜榜是大众投票吗？听吃瓜蒙主谈媒体运作原理。
第1187集 生育率看生产力提升，欧洲生育.txt,生育率看生产力提升，欧洲生育政策乱象，买精生子是大坑#正本清源
第1188集 男性不比女性美吗？对付小黑子.txt,男性不比女性美吗？对付小黑子要麻利#杭州宋酒
第1189集 相貌堂堂朱元璋，先祖正名吾辈.txt,相貌堂堂朱元璋，先祖正名吾辈当#正本清源
第1190集 秦清焚书坑儒谁更胜一筹？#历.txt,秦清焚书坑儒谁更胜一筹？#历史#焚书坑儒 #粪坑
第1191集 穷山恶水出刁民，道德优越贵富.txt,穷山恶水出刁民，道德优越贵富人#隐入尘烟
第1192集 网络不是现实，围剿似接订单，.txt,网络不是现实，围剿似接订单，清装充当汉服，模特不现全貌#菇的辣克香菇酱
第1193集 网络围攻：对方的重金，人民的.txt,网络围攻：对方的重金，人民的反弹[吃瓜蒙主]
第1194集 自然审美的特点，阶级审美的驯.txt,自然审美的特点，阶级审美的驯化#加勒比海盗
第1195集 血统到底重要吗？养猫养狗哪个.txt,血统到底重要吗？养猫养狗哪个贵？#宠物
第1196集 西方中心论是如何根植到我们思.txt,西方中心论是如何根植到我们思想中的？又该如何破除#吃瓜蒙主#西史辩伪
第1197集 西方伪史：言不必称希腊，光从.txt,西方伪史：言不必称希腊，光从中华来
第1198集 走婚美好是宣传，贬中扬外为哪.txt,走婚美好是宣传，贬中扬外为哪般？ #反思想殖民
第1199集 马面裙男的可以穿吗？汉服没有.txt,马面裙男的可以穿吗？汉服没有性别对峙！朝鲜泡菜自有其特色
第1200集 魏晋为什么会流行清谈？LGB.txt,魏晋为什么会流行清谈？LGBT什么的花活儿，古人们早就玩腻了
