原文件名,第一行内容,新文件名
第1023集 当&#39;土&#39;变成贬.txt,当&#39;土&#39;变成贬义词：警惕文化自卑陷阱！！！ 版权保护新视角：如何在创新与传统间寻找平衡。,第1023集 当土变成贬义词_警惕文化自卑陷阱.txt
第1024集 当你看到“上帝”，想到的是狗蛋.txt,当你看到“上帝”，想到的是狗蛋(GOD)，这是一种文化入侵吗 上帝本为昊天至尊，天使原是王使翩翩。,第1024集 当你看到上帝想到的是狗蛋_这是一种文化入侵吗.txt
第1025集 影视文化偏见与群体潜意识操控。.txt,影视文化偏见与群体潜意识操控。,第1025集 影视文化偏见与群体潜意识操控.txt
第1026集 怎么看待李世民的功绩？ 开创盛.txt,怎么看待李世民的功绩？ 开创盛世的明君与埋下隐患的决策者。,第1026集 怎么看待李世民的功绩_开创盛世的明君与埋下隐患的决策者.txt
第1027集 揭秘热搜背后：推流、发行与上榜.txt,揭秘热搜背后：推流、发行与上榜真相！,第1027集 揭秘热搜背后_推流发行与上榜真相.txt
第1028集 明代传教士真相：抄文献胜过传教.txt,明代传教士真相：抄文献胜过传教？揭开西方宗教东侵隐秘动机！！ #传教士 《贺新郎·斥西教东侵事》 海西帆蔽月。 诧东来、窃简蠹文，伪刻摩崖字。 妄言狗蛋司寰宇，竟笑神祇司职？ 善恶柄、强分顺逆。 十架荫藏饕餮影，看沐猴冠袍充信士。 义魄起，血洗耻。 轩辕骨傲岂能折？ 五千年、社稷为祭，不拜虚帝！ 糖衣裹鸩诱孤老，鸡蛋歌声渐渍。 叹蠢蠢、甘为犬豕。 莫道昆仑易摧折，纵风狂雨骤自岿立。 万古脊，裂十字！,第1028集 明代传教士真相_抄文献胜过传教_西方宗教东侵隐秘动机.txt
第1029集 明代海洋帝国：琉球与中国的不解.txt,明代海洋帝国：琉球与中国的不解之缘 明代时期，琉球接受中国册封，奉行中国年号，深受中华文化影响。,第1029集 明代海洋帝国_琉球与中国的不解之缘.txt
第1030集 明朝技术强为何亡国？ 关键在晋.txt,明朝技术强为何亡国？ 关键在晋商！ 水凉半世污青史，血热残阳补旧幡。 铜驼荆棘埋孤愤，金缯关山饲饿鸢。 九边劫火椎埋骨，三韩边尘贩鼎辕。 莫道素封成皇敕，汉家铁券赐素冠！,第1030集 明朝技术强为何亡国_关键在晋商.txt
第1031集 曾国藩：圣人还是恶魔？捧上神坛.txt,曾国藩：圣人还是恶魔？捧上神坛的刽子手，如何腐蚀现代价值观？ —————————————— 乱世枭雄血洗裳，金陵城下骨凝霜。 厚黑窃鼎郑伯术，急功焚玉商於殇。 九仞台倾规则裂，千疮舟覆众生长。 休将刽手奉周鼎，留取清流待新阳。,第1031集 曾国藩_圣人还是恶魔_捧上神坛的刽子手.txt
第1032集 汉服复兴之路的艰难险阻与内外推.txt,汉服复兴之路的艰难险阻与内外推动力量。 汉服复兴历经20年艰苦努力，期间遭遇诸多阻力和泼脏水，但最终挣扎出来。,第1032集 汉服复兴之路的艰难险阻与内外推动力量.txt
第1033集 泰山封禅的皇帝为什么那么少？宋.txt,泰山封禅的皇帝为什么那么少？宋朝因何花钱买和平？,第1033集 泰山封禅的皇帝为什么那么少_宋朝因何花钱买和平.txt
第1034集 满族同胞？满族遗老遗少？ 谁是.txt,满族同胞？满族遗老遗少？ 谁是我们的敌人 谁是我们的朋友,第1034集 满族同胞与满族遗老遗少_谁是敌人谁是朋友.txt
第1035集 满清称谓小科普：为何有人对“满.txt,满清称谓小科普：为何有人对“满清”敏感？ 称谓纷纭，满清清朝； 史笔如衡，褒贬难调。 李唐赵宋，蒙元金辽； 前朝旧例，未起波涛。 今议满清，讳莫如深； 或谓贬抑，或谓实陈。 客观叙事，本无偏颇； 人心所向，自有评说。,第1035集 满清称谓小科普_为何有人对满清敏感.txt
第1036集 爱国主播？你真的了解吗？ 72.txt,爱国主播？你真的了解吗？,第1036集 爱国主播_你真的了解吗.txt
第1037集 班昭为何撰写《女戒》？背后故事.txt,班昭为何撰写《女戒》？背后故事揭秘！,第1037集 班昭为何撰写女戒_背后故事揭秘.txt
第1038集 琵琶是胡人的乐器吗 西方中心论.txt,琵琶是胡人的乐器吗 西方中心论式证据：琵琶的命名的方式是拟声？,第1038集 琵琶是胡人的乐器吗_西方中心论式证据.txt
第1039集 礼乐治天下：音乐在古代中国社会.txt,礼乐治天下：音乐在古代中国社会中的地位 乐起自然，风雅殊途。 度量衡准，音律为枢。 陶情治疾，士气可鼓。 礼乐治国，文明永驻。,第1039集 礼乐治天下_音乐在古代中国社会中的地位.txt
第1040集 科学 二字=科学存在？ 格物致.txt,科学 二字=科学存在？ 格物致知 VS 现代定义终极之战,第1040集 科学二字等于科学存在吗_格物致知与现代定义终极之战.txt
第1042集 血统之谜：为何说农村土狗也有纯.txt,血统之谜：为何说农村土狗也有纯正血统？ 农村的土狗也是有血统的，就是你认识的大黄大黑是有血统的，你知道吗。,第1042集 血统之谜_为何说农村土狗也有纯正血统.txt
第1043集 表意汉字VS拉丁字母，谁才是文.txt,表意汉字VS拉丁字母，谁才是文字系统的王者？,第1043集 表意汉字VS拉丁字母_谁才是文字系统的王者.txt
第1044集 被我们打跑的，到别地儿就称王称.txt,被我们打跑的，到别地儿就称王称霸？,第1044集 被我们打跑的_到别地儿就称王称霸.txt
第1045集 西方人：狡猾！ 一边自夸摩登，.txt,西方人：狡猾！ 一边自夸摩登，一边把你钉死在“原始人”标签！ ———————— 西人饰智，冠冕自雄。 标榜摩登，诋异为蒙。 墨南非锢，楚囚南冠； 印第非鹄，标本樊笼。 假护文之名，行桎梏之实； 托仁术之表，藏劫掠之锋。 白右鸩酒，刳人等级； 白左鸩酒，混世昏懵。 嗟尔寰宇，同此凉热； 岂容画地，永锢愚衷？,第1045集 西方人狡猾_一边自夸摩登一边把你钉死在原始人标签.txt
第1046集 视死如视生：中国人的独特祭祀观.txt,视死如视生：中国人的独特祭祀观念！ 菊本秋芳，非丧祭之属。 近世移风，始入殡仪，不过廿载耳。 华夏鬼神之观，崇 视死如生 ， 祭品当循逝者之好、时世之宜。 若独标一物为丧具， 而禁生人勿用，实悖礼违伦。 今观祭器之变，由真及伪， 由奢入俭，亦见世风之迁也。,第1046集 视死如视生_中国人的独特祭祀观念.txt
第1047集 铁锅走私案揭示西方技术悖论 #.txt,铁锅走私案揭示西方技术悖论 #铁锅走私 胥吏作奸，镬鼎潜移泰西； 洪炉技短，金瓯竟付鲸波。 明季铳利，仰购殊方； 清时釜匮，私贩如梭。 铁冶未通，火器何精？ 理悖天工，文士惑焉。 监守成盗，圣怒难遏； 技朽器锐，史谜谁破？,第1047集 铁锅走私案揭示西方技术悖论.txt
第1048集 限流也要说！ 晋商走私军需发国.txt,限流也要说！ 晋商走私军需发国难财！ 这才是被下架的真正原因 霓裳篡史掩胡绡，算尽漠原牲骨凋。 九出十三驼铃血，妾通买卖玉楼潮。 走私暗度龙庭甲，放贷虚成羯鼓嚣。 欲问铜驼荆棘处，金谷犹唱后庭娇。,第1048集 晋商走私军需发国难财_被下架的真正原因.txt
第1049集 隔岸观火：美国政治大戏为何总是.txt,隔岸观火：美国政治大戏为何总是很戏谑,第1049集 隔岸观火_美国政治大戏为何总是很戏谑.txt
第1050集 韩国偷文化为何反成神助攻？ 中.txt,韩国偷文化为何反成神助攻？ 中山国 韩国 匈奴集体上白？,第1050集 韩国偷文化为何反成神助攻.txt
