原文件名,第一行内容,新文件名
第964集 五千载文明：破而后立的生命线.txt,五千载文明：破而后立的生命线 ——【劫火纹 】 清火焚书迹未消， 禹鼎沉沙锷犹豪。 千钧文字撑危厦， 一脉人伦续断桥。 非是豺狼存善念， 终因根柢抵狂飙。 今人莫作观潮客， 须护星薪照夜寥。,第964集 五千载文明_破而后立的生命线.txt
第965集 五胡乱华真相调查——秩序崩坏时.txt,五胡乱华真相调查——秩序崩坏时，新移民为什么选择”0元购“ #五胡乱华 《胡风诔》 昔匈奴之归附兮，效衣冠而习礼 表面从文明教化兮，内里藏射雕之技 叹史家不察虚实兮，妄断胡羌已华矣 犹如留学英伦二十年兮，炸鱼薯条非英裔 忽晋室之崩摧兮，引狼烟而裂疆畿 方知文化融合之艰兮，非形似所能及 愿后来者鉴此史兮，辨魂形而后立,第965集 五胡乱华真相调查_秩序崩坏时新移民为何0元购.txt
第966集 京剧形成背后的八旗审美操控 —.txt,京剧形成背后的八旗审美操控 —— 《伶衣讽》 伶衣翩跹，实承清韵 八旗铸型，百戏归心 棉纹素绮，奴婢之服 今人谬赞，传统衣冠 丑角妆成，阶级暗印 网络传颂，美恶难分 愿考实物，正本清源 莫使遗韵，尽化云烟 @康师傅官方旗舰店,第966集 京剧形成背后的八旗审美操控.txt
第967集 他们曾为南京沦陷张灯结彩——课.txt,他们曾为南京沦陷张灯结彩——课本不敢写的全民狂欢真相 ——【蚀骨欢宴鉴】 动漫迷眼掩沧桑， 举国同欢噬秣陵。 丐者歌捷裂禹鼎， 枭雄泣血染吴绫。 班固悬镜照虚实， 楚人失璧混渭泾。 莫待秦火焚竹简， 且将殷鉴刻寒冰。 #思想殖民,第967集 他们曾为南京沦陷张灯结彩_课本不敢写的全民狂欢真相.txt
第968集 价值观警示｜别把丛林法则当人生.txt,价值观警示｜别把丛林法则当人生信条——「落后就要挨打」？？？ #吃瓜蒙主 @ 《危厦赋》 夫观沧海横流，方知舟楫之重；历烽火连天，乃晓金汤之贵。昔者华夏，物阜民丰，丝绸盈库，瓷器耀庭。然则外寇叩关，签盟割地，非刀兵不利，实庙算失衡。 八旗布防，如星罗棋网，监黎庶若囚徒；绿营受制，似困兽在笼，纵虎贲难展翼。富室藏金，反招群盗环伺；弱枝承露，终致大厦将倾。夫火器未隔代差，人心先失斗志；甲胄尚能御敌，胆气,第968集 价值观警示_别把丛林法则当人生信条.txt
第969集 传统的发明 那些被刻意模糊的历.txt,传统的发明 那些被刻意模糊的历史断代！ ++++++++++ 《伪风·辨俗》四章 第一章·冠姓考 蒋门秦氏 非古礼， 西来冠姓诳千年。 族谱犹存真名姓， 朱娘原是王家媛。 第二章·金莲鉴 三寸原为履窄量， 宋楸明鞠女儿妆。 谁将玉骨摧残尽？ 胡马南来始断肠。 第三章·八股辨 防弊馆阁本良方， 墨香原是择贤章。 可怜犬彘充廊庙， 故纸堆中训犬方。 第四章·警世铎 伪俗滔滔伪史漫， 百年积毁障丘山。 莫,第969集 传统的发明_那些被刻意模糊的历史断代.txt
第970集 你已被“思想殖民”绑架！ ——.txt,你已被“思想殖民”绑架！ ——这些细节让你主动跪下去！！！ #思想殖民 #逆向种族主义 —— 夫殖民之害，非惟铁骑烽烟； 思想之侵，犹若暗潮噬岸。 昔者胡汉殊形，今竟尊卑倒悬； 本为衣冠上国，反成附庸笑谈。 观夫小说影视，外者必饰以雄武魁伟，野性称美； 我辈则描作侏儒猥琐，孱弱堪怜。 彼以丛林为法则，强权即公理； 此以谦柔作枷锁，自贱若犬鸢。 —— 犹记滕王高阁，俊采星驰之地； 今见渣生烂笔，华夷颠,第970集 你已被思想殖民绑架_这些细节让你主动跪下去.txt
第971集 制度的悖论：秦制兴衰与今日启示.txt,制度的悖论：秦制兴衰与今日启示 《法度谣》 铁律如磐，曾铸就、关山明月。 谁知道、咸阳宫外，泣鹃啼血。 百二秦川机械锁，三千法条文牍孽。 到而今、残简诉兴亡，声声咽。 约三章，民怨歇； 汉阙立，秦规涅。 叹刚柔相济，古今同辙。 流水不腐枢常转，浮云易散罡风烈。 问来人、可悟镜中鉴？弦休绝！,第971集 制度的悖论_秦制兴衰与今日启示.txt
第972集 历史不容遗忘！张纯如用生命守护.txt,历史不容遗忘！张纯如用生命守护的记忆 ——《醒世箴》 沧海遗珠，星汉浮槎。 鉴影识形，遇他知我。 昔有张女，侨居异邦。 目击殊俗，反照肝肠。 金陵血史，铁证如山。 豺狼虽遁，獠牙尚寒。 今人多昧，醉生梦死。 竟忘前耻，甘作楚囚。 青史如镜，照妖现形。 正气不灭，丹心长明。 愿后来者，常怀冰渊。 勿蹈覆辙，永铭斯篇。 #南京大屠杀,第972集 历史不容遗忘_张纯如用生命守护的记忆.txt
第973集 古埃及文字是画还是字母？ ——.txt,古埃及文字是画还是字母？ ——西方破译方法惊现逻辑漏洞 《沙文诡字鉴》 昔者尼罗涛涌，墟沙掩迹。殖者持铻而叩石，妄称天工；学士秉烛以译符，强赋音读。夫象形者，天地之纹也，奈何以鸟兽之姿，充唇齿之音？画壁千凿，竟作数声琐语；碑文三转，徒成一片虚言。 观夫金塔巍巍，本邻闾阎之侧，何须远客“发现”？夯土成台，本顺自然之势，岂若运石沙海之悖？更堪哂者，定文字为文明之尺，量四夷则宽，度华夏则苛。印河无字可为圣.txt,第973集 古埃及文字是画还是字母_西方破译方法逻辑漏洞.txt
第974集 周礼旧制话市容：弃灰于市的文明.txt,周礼旧制话市容：弃灰于市的文明脉络 ——【满江红·市尘警世 】 弃灰遗规，谁还记，周秦旧法？ 望巷陌、昔年檐下，暗尘埋榻。 一帚曾清千户秽，十家若乱全城杂。 叹尔今、犹自纵抛扔，何稽查？ 评佳市，颁章衽； 驱污淖，悬明匣。 有古人垂训，众耳须纳。 废料堆山遮日月，芳香散尽如焚腊。 警尘寰、德礼共持循，休凌踏！,第974集 周礼旧制话市容_弃灰于市的文明脉络.txt
第975集 商周之变：最被低估的文明升级.txt,商周之变：最被低估的文明升级-迁徙变定居，华夏精神内核初定型 —— 《商周易代鉴》 观夫玄鸟栖檐，周粟盈仓。牧野戈销而礼乐兴，殷民星散而血脉长。昔者纣台倾酒，实为聚族之仪；今见周鼎铭文，尽作劝农之章。岂知耕战相生，农时即天时也；奢俭易位，道德亦术道哉！彼黍离离，非关易姓；其民淳淳，总是故邦。可叹简朴成风，竟掩九鼎之重；规划为美，谁察万民之伤？夫计划虽精，终困阡陌之畴；礼制虽严，难缚天地之纲。遂使千年.txt,第975集 商周之变_最被低估的文明升级.txt
第976集 尘寰权衡录——女权迷思与价值真.txt,尘寰权衡录——女权迷思与价值真相｜孝道是女性的保护伞？ —— 《满庭芳·观权论》 尘海争衡，雌雄竞弈，几回虚筑层楼。 权非天授，贡献定沉浮。 堪笑营销伎俩，男儿手、暗控潮头。 菱花镜，颜评虚涨，生育价潜流。 究中东变局，驱车就业，血汗书猷。 孝道悬明镜，弱母方舟。 谁见强权孝子？财产畔、溺死婴俦。 苍茫问：千载斗转，可醒世人眸？,第976集 尘寰权衡录_女权迷思与价值真相.txt
第977集 岛国宿命与侵略基因——从地理视.txt,岛国宿命与侵略基因——从地理视角解构倭寇文化・樱花背后的铁蹄 《东瀛鉴》 扶桑悬岛，蛇形沧溟。地无三纵之险，陆缺九回之屏。浪涌四面而心悬千仞，山裂八荒而气郁重阴。于是丧文化滋，太宰治文如鸩饮；死亡美祟，浮世绘色似魇侵。观其屋宇低檐，犹困兽蜷缩；赏其光影明灭，实幽魂沉吟。 昔者徐福东渡，本传仁义之种；鉴真西行，原播大乘之音。奈何岛瘠难养参天木，水咸不育连理林。宋始乃有船载女，暗行借胎之计；明寇持刃，妄.txt,第977集 岛国宿命与侵略基因_从地理视角解构倭寇文化.txt
第978集 当年轻人开始用五千年视角看传统.txt,当年轻人开始用五千年视角看传统！！！ ++++++++++++++++++ 《华夏衣冠鉴》 五千年光射斗牛，一朝胡骑破衣冠。 西伯利亚风霜恶，东欧罗刹鬼火残。 衣冠南渡心犹在，文物东归梦未阑。 莫道神州无正色，重开日月照琅玕。,第978集 当年轻人开始用五千年视角看传统.txt
第979集 曾剃头？这个杀人如麻的刽子手凭.txt,曾剃头？这个杀人如麻的刽子手凭什么成为成功学IP？？？ #刽子手 +++++++++++++++ 《满江红·闻曾剃头事有感》 铁骑霜刀，曾记否、江南血碧？ 湘军过、哀鸿遍野，鬼磷千驿。 七尺青锋屠万姓，一封家训欺今昔。 叹儒冠、竟作剃头人，天难白！ 金銮诺，鹰犬职； 乡塾利，蛇珠迹。 算沽名钓誉，岂消锋镝？ 长恨史书涂墨易，堪惊庙食焚香急。 问苍生、何日醒沉酣，观贞石？,第979集 曾剃头_杀人如麻的刽子手为何成成功学IP.txt
第980集 朱元璋修元史只要1年——清朝修.txt,朱元璋修元史只要1年——清朝修明史为何耗100年？ 《踏莎行·读史》 墨篡青编，烟销铁证，修书更是焚书令。百年刀笔刻虚名，谁知纸缝孤魂哽。 元史匆成，明史细订，从来后朝评前政。若求真相应焚何？灰飞早罩千秋镜。,第980集 朱元璋修元史只要1年_清朝修明史为何耗100年.txt
第981集 朱明被黑背后：一场认知逆袭 《.txt,朱明被黑背后：一场认知逆袭 《满庭芳·秽壤鸣蝉》 秽壤鸣蜩，浊烟障目，竞泼粪土朱垣。 吠声群起，腐叶覆清澜。 谁记洪武星月？ 浑忘了、永乐征鞍。 唯见得，豕虻成阵，秽语染江山。 堪叹！当此际， 谤声作磬，墨池生莲。 待云开雾散，镜鉴忠奸。 且看荒唐闹剧，终成就、觉醒新篇。 青霄外，风回瘴净，朗日照苍寰。,第981集 朱明被黑背后_一场认知逆袭.txt
第982集 永不加赋？ 税可没少收 #历史.txt,永不加赋？ 税可没少收 #历史真相 #明清对比 「赋税鉴」 夫赋税者，社稷之血脉，生民之枷锁。昔白起坑卒，史书斥其暴戾，然较之明清易代，四十万枯骨竟成微尘。明室疏于统计，二百年未点丁口，徭役银固于旧册，虽未言永免，实赋不加毫厘。清廷标榜仁政， 永不加赋 响彻云霄，然税课如潮涌，剜肉补疮之术，岂非欺世盗名乎？ 观夫明末二亿余众，清初八千万民，其间断崖之势，非天灾乃人祸。较之抗战十四载，三千五百万英魂，.txt,第982集 永不加赋_税可没少收_明清对比.txt
第983集 清疆伪贡献论：僵尸法统与疆域真.txt,清疆伪贡献论：僵尸法统与疆域真相—— 【疆舆辩伪赋】 昔者舆图之说，甚嚣尘上。或谓清室肇基，疆理禹甸；殊不知鸠占鹊巢，妄称天授。观其法统，若僵尸夜起，百年诈尸而诩正统；察其拓土，类盗寇入室，掠明庭旧疆而邀功。羁縻之区，本属汉唐遗土；朝贡之域，翻作八旗战利。紫垣半毁，犹夸守土有方；边塞尽失，反诩开疆无量。昔贾生痛哭，慨秦失其鹿；今竖子妄言，竟清续其貂！嗟乎！历史虚无之毒，甚于烽火；疆域谬论之弊，烈于刀.txt,第983集 清疆伪贡献论_僵尸法统与疆域真相.txt
第984集 爱国有罪？｜起底“夹头榜”背后.txt,爱国有罪？｜起底“夹头榜”背后的舆论操纵术 #恨国党 —— 《夹头鉴》 夫舆论沧溟，易沉赤子之心；网络洪炉，惯销金石之志。昔者公知跋扈，恨国器嚣，爱国如履薄冰，颂华似负千钧。司马南临美利坚之险，颈夹电梯；众宵小举“夹头”之帜，口诛笔伐。然则风雨如晦，鸡鸣不已，纵怀投机之疑，犹存振臂之勇。 观夫夹头榜列，忠佞同讥；键盘剑横，是非共泯。嘲讽如潮，淹没了青史真言；标签似雪，覆盖了赤诚肝胆。嗟乎！曲直难辨之.txt,第984集 爱国有罪_起底夹头榜背后的舆论操纵术.txt
第985集 生食危言：舌尖上的风险与文明抉.txt,生食危言：舌尖上的风险与文明抉择！ ——《脍鉴》 燧火凿光启庖厨， 脍残唐宋葬遗疽。 脍炙虽诱蛊潜腹， 鼎鼐方承天道书。 莫效饕君贪脍细， 当从扁鹊避瘴疎。 古今血训铭箸下， 一寸慎心胜万鲂。,第985集 生食危言_舌尖上的风险与文明抉择.txt
第986集 破除历史幻觉｜我们像大明不像汉.txt,破除历史幻觉｜我们像大明不像汉唐！三大证据揭秘 《鉴今明志赋》 忽驰骛以追古兮，览八代之兴亡。 秦法峻而弦崩兮，隋制宏而柱折。 斥汉唐之虚影兮，唯大明其堪镜。 清独行而无俦兮，固步封于高墙。 吾令历史为衡兮，量黍米于毫芒； 冀时刃破循环兮，斩冥顽于未央！,第986集 破除历史幻觉_我们像大明不像汉唐.txt
第987集 礼不下庶人的历史真相：先秦阶级.txt,礼不下庶人的历史真相：先秦阶级分治实录 —— 《鉴古箴》 礼器森森耀九重，刑书隐隐锢氓僮。 簪缨世胄联姻盟，瓮牖黔首泣朔风。 徒慕先贤多妻妾，焉知古制本双轨？ 愿君拭目察春秋，莫将糟粕奉圭翁。,第987集 礼不下庶人的历史真相_先秦阶级分治实录.txt
第988集 脚盆人为何敢挑衅？「唐朝」打了.txt,脚盆人为何敢挑衅？「唐朝」打了坏样板 —— 《临江仙·唐鉴》 烽火曾照长安月，胡尘漫卷朱门。 强弓铁骑定乾坤，何须夸海纳，孤冢葬黄昏。 百年祸乱谁人种？东瀛浪涌鲸吞。 旧时样板刻新痕，兴亡皆自取，莫怨九天云。,第988集 脚盆人为何敢挑衅_唐朝打了坏样板.txt
第989集 营销号为何热衷盛唐美国化｜背后.txt,营销号为何热衷盛唐美国化｜背后藏着不可告人的目的 —— 《唐影辞》 长太息以掩涕兮，哀伪史之流行。 众口铄金乱真假兮，竟以美制为唐型。 昔者李唐立规矩兮，胡汉异制各分明。 市场分置税有别兮，衣冠禁令守华旌。 何今之狡黠兮，偷梁换柱乱视听。 移民之策若浮萍兮，散装之国岂长宁？ 固本培元守正道兮，莫效西夷忘祖庭。 史鉴明明照肝胆兮，愿以此辞醒世情。,第989集 营销号为何热衷盛唐美国化_背后藏着不可告人的目的.txt
第990集 血缘与双标：李唐通婚背后的认同.txt,血缘与双标：李唐通婚背后的认同博弈 —— 《李唐通婚诰》 李唐兴兮，姻鲜卑， 父系固兮，母系微。 胡汉融兮，血统杂， 双标乱兮，理义违。 昔者鲜卑娶汉女， 今人论史心偏轨。 族谱昭昭记父名， 何须雌黄辩是非？ 血胤清浊本有常， 莫效墙头草纷飞。,第990集 血缘与双标_李唐通婚背后的认同博弈.txt
第991集 血色契约：清条约中的资源与人口.txt,血色契约：清条约中的资源与人口贩卖实录｜矿权+税收+人口 统统被卖光—— 《契骸篇》 丹砂契约烙山河，黑纸白字噬骨多。 矿脉如血抽地脉，税权似刃剜民脂。 海船载骸千帆重，异域埋魂万鬼歌。 莫道百年伤已愈，犹闻旧卷哭沧波。 #不平等条约,第991集 血色契约_清条约中的资源与人口贩卖实录.txt
第992集 被踢去 啃荒 的诸侯：楚国的委.txt,被踢去 啃荒 的诸侯：楚国的委屈与野心｜从铜矿发家到问鼎中原 —— 《芈野辩》 昔有苗裔，帝高阳之胄，封荆榛而爵楚子。 周礼森森，彼独呼蛮夷以僭越； 荒芜漫漫，谁曾见铜锡铸辉煌？ 斥其撒泼非叛道，笑他抢掠作癫狂。 南土瘴疠，非天命不眷； 北原温良，岂地理独彰？ 嗟乎！居僻壤而守正朔，处边缘未忘冠裳。 莫以寒暑论兴废，且看熔炉炼八荒。,第992集 被踢去啃荒的诸侯_楚国的委屈与野心.txt
第993集 西邦旧秽录：粪水漫街三百年 《.txt,西邦旧秽录：粪水漫街三百年 《满江红·秽街叹》 秽漫欧街，惊回首、三声泼泄。 凝望处、帽遮蝇阵，屐避污穴。 岂料香尘藏蛆踊，焉知罗伞掩腥冽。 数百年、粪土铸城基，堪悲切！ 周礼制，沟渎澈；禹王智，江河决。 笑西邦初涉，聚落新设。 华服终难涤旧垢，鸣钟怎解民生阕？ 问苍穹、何日净寰尘，从头说。,第993集 西邦旧秽录_粪水漫街三百年.txt
第994集 超99_文盲率有多可怕｜白话文.txt,超99_文盲率有多可怕｜白话文运动竟是扫盲工程 #惊讶... 清代人宁签条约不写小说？原因太扎心！ #文字狱 明代就有网络小说？#文化传承 那些被遗忘的市井文学 —— ———————————— 《满江红·文脉劫》 墨海沉沙，惊回首、百年文厄。 叹满清、箍心锁口，万签封册。 市井风流文字狱，庙堂跪拜奴才策。 更那堪、条约叠如山，神州瘠！ 明椽笔，今安在？ 兰亭韵，谁人摘？ 剩铜驼荆棘，饿殍千百。 白话,第994集 超99文盲率有多可怕_白话文运动竟是扫盲工程.txt
第995集 跪叩考：从天地君亲师到满清奴化.txt,跪叩考：从天地君亲师到满清奴化・谁在逼你磕头？ ——《鉴跪篇》 朱门犹记跪叩声，八旗豕群裂汉庭 君亲师礼成枷锁，天地君权化桎梏 可叹礼失求诸野，堪悲制紊问胡廷 若使耿恭重戍塞，定斩奴礼祭兰陵,第995集 跪叩考_从天地君亲师到满清奴化_谁在逼你磕头.txt
第996集 辫子与镜子：清代形象遗毒与当代.txt,辫子与镜子：清代形象遗毒与当代文化自信困境 《镜诰》 观夫镜鉴沧桑，影留夷夏。昔建州豕群，裂帛摧冠；今海宇传灯，描形塑魊。斗笠秃颅竟成符咒，肋条细颈尽化枷锁。彼西方绘骨之术，本藏殖民刃冷；此东土观颜之痛，原是奴役疮深。 嗟乎！基因既定，何生混血之妄？血脉天成，反起效颦之叹。强权审美好比霜刃，暗剜心骨；历史债务犹如缠足，困锁神魂。岂知汉唐气象，本有凌云之姿；宋明风骨，自含韫玉之德。 今当扫清辫影，重铸.txt,第996集 辫子与镜子_清代形象遗毒与当代文化自信困境.txt
第997集 逆风辨忠魂 【危鼎鉴 】 夫观.txt,逆风辨忠魂 【危鼎鉴 】 夫观沧海者，必验于逆涛； 识忠良者，须证于困局。 昔盛唐崩摧之际，安史横流，非无胡将守孤城； 赵宋倾覆之时，崖山血浪，犹见孤臣抱幼主。 锦上添花之辈，易饰丹心于顺境； 雪中送炭之徒，难掩赤胆于绝渊。 观今之世，每见鸾凤栖梧，皆言眷眷； 及至风雨摧柯，顿作萧萧。 霓裳羽衣之客，竞逐尧舜笙歌； 板荡疮痍之秋，谁效屈子沉江？ 故曰：颂声盈耳，未若危旌独擎； 蜜语萦梁，何如寒刃同戍.txt,第997集 逆风辨忠魂_危鼎鉴.txt
第998集 镜头设计精细到秒？影视工业的真.txt,镜头设计精细到秒？影视工业的真相 《鹧鸪天·影视预制》 镜里春秋套路深，舌尖犹借外邦音。 三分景别裁情绪，几秒宫商挑客心。 工易效，意难寻，流水线作宴如林。 劝君莫笑农家拙，自有真诚胜铄金。,第998集 镜头设计精细到秒_影视工业的真相.txt
第999集 长平战场白骨为证｜原来古人这样.txt,长平战场白骨为证｜原来古人这样计算兵力 #历史真相 ——【兵账鉴】 昔者中原列阵，旌旗蔽空，每称万乘之师；胡马扬尘，鼓角连营，常言千骑破敌。观长平之丘冢，白骨犹诉统计之诡；闻阴山之战报，胡笳暗藏数目之机。 中原之师，计丁壮若星斗，健妇充役，民夫运粮，虽挑担之人皆入兵册；游牧之众，唯巴图鲁称雄，奴隶填壑，妇孺压阵，纵横驰者不载汗青。 于是有赵括纸上谈兵，空负四十万冤魂；清帝鞍间执笔，虚报八千破重城。嗟,第999集 长平战场白骨为证_原来古人这样计算兵力.txt
第1000集 黑子水平：从造谣到诅咒的沦陷之.txt,黑子水平：从造谣到诅咒的沦陷之路 #画个圈圈诅咒你 ——《斥咒箴》 蠹生虚隙，瘴结妄云。 诅为朽戈，咒作腐尘。 画圈噬影，衔恨吠昏。 陈矢破蛊，豹沉巫沦。 昔时蝗集，今朝柏伸。 彦道掷彩，安石镇军。 魍魉技穷，螟蛉智泯。 郑婢卷舌，东施效颦。 蚡咒武安，无忌谗郢。 仁者如砥，谗人若泚。 诅疾败速，昭彰天理。,第1000集 黑子水平_从造谣到诅咒的沦陷之路.txt
